"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
7.515072823E-3,3.211755662E1,1.189482339E2,1.637148690E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.731770992E-1,3.211754300E1,1.189482327E2,1.581756496E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.150605083E0,3.211750358E1,1.189482106E2,1.555469537E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.023034501E1,3.211749671E1,1.189482090E2,1.543919253E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.279085803E1,3.211750568E1,1.189481680E2,1.527938414E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.103791702E1,3.211756076E1,1.189480775E2,1.527888894E1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.714401805E1,3.211760362E1,1.189480302E2,1.527888894E1,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.769773400E1,3.211748333E1,1.189480750E2,1.515479541E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.428884208E1,3.211741443E1,1.189479265E2,1.509472036E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.711131799E1,3.211735864E1,1.189478515E2,1.510422707E1,-1.000000000E0,-1.000000000E0,3.504804184E1,3.504804184E1
5.374783003E1,3.211732585E1,1.189477877E2,1.506620836E1,-1.000000000E0,-1.000000000E0,4.600000000E1,4.600000000E1
6.028870010E1,3.211731426E1,1.189477956E2,1.503007650E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.691259909E1,3.211741180E1,1.189478453E2,1.501164293E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
7.344912302E1,3.211750368E1,1.189479105E2,1.498349905E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
7.515058303E1,3.211760099E1,1.189477900E2,1.494773674E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.836500406E1,3.211763871E1,1.189477322E2,1.491840744E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.443657601E1,3.211765303E1,1.189476664E2,1.491809559E1,-1.000000000E0,-1.000000000E0,4.870621205E1,4.870621205E1
9.044696009E1,3.211763900E1,1.189476146E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
9.668777001E1,3.211762387E1,1.189475911E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
1.027787740E2,3.211761342E1,1.189475851E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
1.088682190E2,3.211760718E1,1.189475867E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
1.149156921E2,3.211760396E1,1.189475907E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
1.209496300E2,3.211760262E1,1.189475947E2,1.491809559E1,-1.000000000E0,-1.000000000E0,5.233333333E1,5.233333333E1
1.214674430E2,3.211802229E1,1.189474536E2,1.491707635E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.278204590E2,3.211807765E1,1.189474429E2,1.493876910E1,-1.000000000E0,-1.000000000E0,5.487386566E1,5.487386566E1
1.302588110E2,3.211819342E1,1.189473892E2,1.494852400E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.350053331E2,3.211836696E1,1.189472759E2,1.510977101E1,-1.000000000E0,-1.000000000E0,4.162259654E1,4.162259654E1
1.421231960E2,3.211846900E1,1.189473020E2,1.521796846E1,-1.000000000E0,-1.000000000E0,4.063748128E1,4.063748128E1
1.485556110E2,3.211858408E1,1.189471146E2,1.527305055E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.546000670E2,3.211865066E1,1.189470624E2,1.527350831E1,-1.000000000E0,-1.000000000E0,5.173579818E1,5.173579818E1
1.550084461E2,3.211869764E1,1.189469737E2,1.529295921E1,-1.000000000E0,-1.000000000E0,5.178793036E1,5.178793036E1
1.615252241E2,3.211862285E1,1.189470032E2,1.736366034E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.679713291E2,3.211876428E1,1.189469695E2,1.639946818E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
1.740032121E2,3.211881179E1,1.189469173E2,1.589286232E1,-1.000000000E0,-1.000000000E0,6.245282998E1,6.245282998E1
1.804973071E2,3.211901406E1,1.189468326E2,1.589257002E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.869996381E2,3.211910587E1,1.189467861E2,1.562136269E1,-1.000000000E0,-1.000000000E0,4.049699561E1,4.049699561E1
1.931058600E2,3.211902791E1,1.189468261E2,1.548440695E1,-1.000000000E0,-1.000000000E0,5.281384978E1,5.281384978E1
1.935144750E2,3.211907143E1,1.189468033E2,1.698444700E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.999950521E2,3.211917113E1,1.189467882E2,1.625126028E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1
2.065174221E2,3.211913178E1,1.189467401E2,1.800703192E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.130262580E2,3.211916092E1,1.189467654E2,1.894400215E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.194868790E2,3.211924976E1,1.189467120E2,1.942818785E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.259328871E2,3.211931966E1,1.189467033E2,1.967758512E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.323696470E2,3.211937900E1,1.189467256E2,1.980593014E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.388266430E2,3.211939440E1,1.189467186E2,1.987183714E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.452983980E2,3.211956335E1,1.189468192E2,1.990631127E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.517509791E2,3.211963782E1,1.189468166E2,1.992350817E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.578611151E2,3.211968463E1,1.189466579E2,1.993149948E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.643805810E2,3.211972681E1,1.189467890E2,1.993732262E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.682037771E2,3.211973412E1,1.189468568E2,1.993945694E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.708418751E2,3.211973907E1,1.189469255E2,1.994105506E1,-1.000000000E0,-1.000000000E0,4.247552270E1,4.247552270E1
2.773442430E2,3.211974159E1,1.189469335E2,1.994139147E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.838244441E2,3.211973164E1,1.189469784E2,1.994210744E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.902866681E2,3.211978728E1,1.189471290E2,1.994314981E1,-1.000000000E0,-1.000000000E0,5.233113760E1,5.233113760E1